Country,City,AccentCity,Region,Population,Latitude,Longitude
us,abanda,Abanda,AL,,33.1008333,-85.5297222
us,abbeville,Abbeville,AL,,31.5716667,-85.2505556
us,abbot springs,Abbot Springs,AL,,33.3608333,-86.4816667
us,abel,Abel,AL,,33.5486111,-85.7125000
us,abercrombie,Abercrombie,AL,,32.8486111,-87.1650000
us,aberfoil,Aberfoil,AL,,32.0702778,-85.6877778
us,abernant,Abernant,AL,,33.2902778,-87.1980556
us,abernathy,Abernathy,AL,,33.6505556,-85.4075000
us,academy park,Academy Park,AL,,33.2000000,-87.1566667
us,acipcoville,Acipcoville,AL,,33.5561111,-86.8430556
us,ackerville,Ackerville,AL,,32.0294444,-87.0663889
us,acmar,Acmar,AL,,33.6213889,-86.4961111
us,active,Active,AL,,32.8677778,-86.9769444
us,acton,Acton,AL,,33.4266667,-86.7352778
us,ada,Ada,AL,,32.1052778,-86.2763889
us,adair ford,Adair Ford,AL,,34.6708333,-86.4311111
us,adams,Adams,AL,,32.7394444,-86.8327778
us,adams crossroads,Adams Crossroads,AL,,34.0775000,-85.4877778
us,adamsburg,Adamsburg,AL,,34.3988889,-85.6722222
us,adamsville,Adamsville,AL,,33.6008333,-86.9561111
us,addison,Addison,AL,,34.2022222,-87.1813889
us,aden,Aden,AL,,33.1586111,-86.9966667
us,adger,Adger,AL,,33.3769444,-87.0936111
us,adkin hill,Adkin Hill,AL,,32.6088889,-86.3111111
us,adler,Adler,AL,,32.7630556,-87.1683333
us,adville,Adville,AL,,33.8838889,-86.6447222
us,agricola,Agricola,AL,,32.7683333,-85.7386111
us,ai,Ai,AL,,33.6500000,-85.4472222
us,aimwell,Aimwell,AL,,32.1213889,-87.9061111
us,airport highlands,Airport Highlands,AL,,33.5850000,-86.7416667
us,akinsville,Akinsville,AL,,31.6355556,-85.6111111
us,akka,Akka,AL,,30.7772222,-88.0230556
us,akron,Akron,AL,,32.8763889,-87.7425000
us,alabama city,Alabama City,AL,,34.0222222,-86.0455556
us,alabama fork,Alabama Fork,AL,,34.8513889,-86.9738889
us,alabama port,Alabama Port,AL,,30.3627778,-88.1147222
us,alabama shores,Alabama Shores,AL,,34.7963889,-87.5525000
us,alabaster,Alabaster,AL,26738,33.2441667,-86.8163889
us,alaga,Alaga,AL,,31.1261111,-85.0725000
us,alberta,Alberta,AL,,32.2319444,-87.4100000
us,alberton,Alberton,AL,,31.2777778,-86.1258333
us,albertville,Albertville,AL,18368,34.2675000,-86.2088889
us,alden,Alden,AL,,33.6388889,-86.9652778
us,alder springs,Alder Springs,AL,,34.3430556,-86.2158333
us,aldrich,Aldrich,AL,,33.1075000,-86.8911111
us,aldridge,Aldridge,AL,,33.7069444,-87.2419444
us,aldridge grove,Aldridge Grove,AL,,34.4230556,-87.2405556
us,alexander city,Alexander City,AL,14993,32.9438889,-85.9538889
us,alexandria,Alexandria,AL,,33.7738889,-85.8855556
us,alexis,Alexis,AL,,34.1788889,-85.5122222
us,alfalfa,Alfalfa,AL,,32.5102778,-87.7644444
us,alice,Alice,AL,,34.1291667,-86.2402778
us,aliceville,Aliceville,AL,,33.1294444,-88.1513889
us,allens crossroads,Allens Crossroads,AL,,34.4277778,-86.5419444
us,allens factory,Allens Factory,AL,,34.2788889,-87.7213889
us,allenton,Allenton,AL,,31.9366667,-87.0533333
us,allenton station,Allenton Station,AL,,31.9297222,-87.0236111
us,allenville,Allenville,AL,,32.4908333,-87.6608333
us,allgood,Allgood,AL,,33.9119444,-86.5094444
us,alliance,Alliance,AL,,33.5477778,-87.1263889
us,allison,Allison,AL,,32.7866667,-87.9758333
us,allison mills,Allison Mills,AL,,33.3897222,-86.1150000
us,allred,Allred,AL,,31.7716667,-86.0083333
us,allsboro,Allsboro,AL,,34.6941667,-88.1102778
us,allsop,Allsop,AL,,33.9411111,-85.7163889
us,alma,Alma,AL,,31.4638889,-87.7538889
us,almeria,Almeria,AL,,32.0263889,-85.8505556
us,almond,Almond,AL,,33.1463889,-85.6216667
us,almont,Almont,AL,,33.1144444,-86.8791667
us,alpine,Alpine,AL,,33.3486111,-86.2386111
us,alpine bay,Alpine Bay,AL,,33.4480556,-86.2952778
us,alpine shores,Alpine Shores,AL,,34.2166667,-85.5263889
us,alta,Alta,AL,,33.6708333,-87.5316667
us,alta vista,Alta Vista,AL,,32.6547222,-85.3938889
us,altadena ridge estates,Altadena Ridge Estates,AL,,33.4333333,-86.7466667
us,altadena woods,Altadena Woods,AL,,33.4052778,-86.7475000
us,altamont park,Altamont Park,AL,,33.5094444,-86.7655556
us,alton,Alton,AL,,33.5791667,-86.6375000
us,altoona,Altoona,AL,,34.0261111,-86.3261111
us,america,America,AL,,33.7377778,-87.2525000
us,andalusia,Andalusia,AL,,31.3083333,-86.4833333
us,anderson,Anderson,AL,,34.9283333,-87.2663889
us,andrews chapel,Andrews Chapel,AL,,34.3380556,-87.0844444
us,angel,Angel,AL,,33.8352778,-85.8369444
us,anita,Anita,AL,,33.1741667,-86.9802778
us,anne manie,Anne Manie,AL,,32.0527778,-87.5708333
us,anniston,Anniston,AL,23423,33.6597222,-85.8316667
us,ansley,Ansley,AL,,31.8861111,-86.1158333
us,antioch,Antioch,AL,,32.9447222,-86.9986111
us,antioch estates,Antioch Estates,AL,,34.2458333,-85.6430556
us,apple grove,Apple Grove,AL,,34.3986111,-86.6102778
us,appleton,Appleton,AL,,31.2208333,-87.1213889
us,aqua vista,Aqua Vista,AL,,34.8302778,-87.4852778
us,aquilla,Aquilla,AL,,31.7122222,-88.4138889
